idnumber,storytype,genre
SINVS001,ATU 0221,ANIMAL TALES
SINVS002,ATU 0330,TALES OF MAGIC
SINVS003,ATU 0922,REALISTIC TALES
SINVS004,ATU 0313,TALES OF MAGIC
SINVS005,ATU 1539A*,ANECDOTES AND JOKES
SINVS006,ATU 0130,ANIMAL TALES
SINVS007,ATU 0591,TALES OF MAGIC
SINVS008,ATU 1640,ANECDOTES AND JOKES
SINVS009,UNKNOWN,UNKNOWN
SINVS010,ATU 0157,ANIMAL TALES
SINVS011,ATU 0123,ANIMAL TALES
SINVS012,ATU 1562A,ANECDOTES AND JOKES
SINVS013,ATU 1641,ANECDOTES AND JOKES
SINVS014,ATU 1375,ANECDOTES AND JOKES
SINVS015,ATU 1792,ANECDOTES AND JOKES
SINVS016,ATU 0566,TALES OF MAGIC
SINVS017,ATU 1381,ANECDOTES AND JOKES
SINVS018,UNKNOWN,UNKNOWN
SINVS019,ATU 0327C,TALES OF MAGIC
SINVS020,ATU 0275C*,ANIMAL TALES
SINVS021,ATU 0569,TALES OF MAGIC
SINVS022,ATU 0440,TALES OF MAGIC
SINVS023,ATU 0720,TALES OF MAGIC
SINVS024,UNKNOWN,UNKNOWN
SINVS026,ATU 0563,TALES OF MAGIC
SINVS027,ATU 1204,ANECDOTES AND JOKES
SINVS028,UNKNOWN,UNKNOWN
SINVS029,ATU 0041,ANIMAL TALES
SINVS030,UNKNOWN,UNKNOWN
SINVS031,ATU 0295,ANIMAL TALES
SINVS032,ATU 0315,TALES OF MAGIC
SINVS033,ATU 0222,ANIMAL TALES
SINVS034,ATU 0750A,RELIGIOUS TALES
SINVS035,ATU 0210,ANIMAL TALES
SINVS036,ATU 0502,TALES OF MAGIC
SINVS037,ATU 1210,ANECDOTES AND JOKES
SINVS038,ATU 0700,TALES OF MAGIC
SINVS039,ATU 1287,ANECDOTES AND JOKES
SINVS040,SINUR 0009E*,UNKNOWN
SINVS041,ATU 0325,TALES OF MAGIC
SINVS042,UNKNOWN,UNKNOWN
SINVS043,ATU 0315B,TALES OF MAGIC
SINVS045,ATU 1643,ANECDOTES AND JOKES
SINVS046,ATU 0047A,ANIMAL TALES
SINVS047,ATU 0130,ANIMAL TALES
SINVS048,ATU 0332,TALES OF MAGIC
SINVS050,UNKNOWN,UNKNOWN
SINVS051,ATU 0330,TALES OF MAGIC
SINVS052,ATU 0555,TALES OF MAGIC
SINVS054,UNKNOWN,UNKNOWN
SINVS055,ATU 0550,TALES OF MAGIC
SINVS056,ATU 2030,FORMULA TALES
SINVS057,ATU 1565**,ANECDOTES AND JOKES
SINVS058,ATU 0002,ANIMAL TALES
SINVS059,ATU 0780,RELIGIOUS TALES
SINVS060,SINSAG 0067,UNKNOWN
SINVS061,SINUR 0037A*,UNKNOWN
SINVS062,ATU 0775,RELIGIOUS TALES
SINVS063,ATU 0561,TALES OF MAGIC
SINVS064,ATU 1675,ANECDOTES AND JOKES
SINVS065,ATU 1535,ANECDOTES AND JOKES
SINVS066,ATU 0510B,TALES OF MAGIC
SINVS067,ATU 1157,TALES OF THE STUPID OGRE
SINVS069,UNKNOWN,UNKNOWN
SINVS070,SINUR 0093,UNKNOWN
SINVS071,SINUR 0130B,UNKNOWN
SINVS072,ATU 1525A,ANECDOTES AND JOKES
SINVS073,ATU 1336,ANECDOTES AND JOKES
SINVS074,ATU 0759,RELIGIOUS TALES
SINVS075,ATU 1091,TALES OF THE STUPID OGRE
SINVS076,ATU 2025,FORMULA TALES
SINVS077,TM 0556*,UNKNOWN
SINVS078,ATU 0956B,REALISTIC TALES
SINVS053,ATU 0571,TALES OF MAGIC
